"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CAALFM_C100490CA",4844.75600577357,0.000409386415719609,0.0563536887081382,0.967807281141456,0.99970875222106
"CAALFM_C100500CA",5025.22264666047,-0.000441967176362396,0.0560796237647876,0.952193570677753,0.99970875222106
"CAALFM_C100510WA",1194.90491026333,-0.00285655329585932,0.0563489916637785,0.674861769075931,0.99970875222106
"CAALFM_C100520WA",808.216113094073,0.00171462197356428,0.0552555627231601,0.887458113771273,0.99970875222106
"CAALFM_C100530CA",935.782653275805,-0.00328019574260628,0.05537477295129,0.787982844069817,0.99970875222106
"CAALFM_C100540CA",1336.80713195087,-0.000945260461110424,0.0561227422113753,0.900578664965578,0.99970875222106
"CAALFM_C100550WA",739.672282606754,0.00353127293681625,0.0564379076061639,0.596488639836241,0.99970875222106
"CAALFM_C100560WA",1078.15562677208,-0.000122097399283912,0.0564987527977951,0.971217942819075,0.99970875222106
"CAALFM_C100570CA",440.808955198735,0.00893639568684632,0.0563790553705026,0.43780566738089,0.99970875222106
"CAALFM_C100580WA",409.349358338205,0.000674597260526982,0.0563355238157564,0.916690550389933,0.99970875222106
"CAALFM_C100590WA",23623.1020706755,-0.000609193867244355,0.0565250719245755,0.870793341607002,0.99970875222106
"CAALFM_C100600WA",1235.81932394665,0.00657193232650192,0.0548286516812179,0.67267532433477,0.99970875222106
"CAALFM_C100610WA",3498.15303582359,0.00141608784398487,0.0559545511090748,0.859345463201868,0.99970875222106
"CAALFM_C100620WA",1200.00264335807,-0.00255527141650526,0.0540523916754984,0.874116318109598,0.99970875222106
"CAALFM_C100630WA",322.720568986342,0.00264278789484082,0.0565250402234241,0.609419816409551,0.99970875222106
"CAALFM_C100640CA",4792.24347288788,-0.000754586870746033,0.0565408405319246,0.836428726335612,0.99970875222106
"CAALFM_C100650CA",2082.37897062711,0.0043624497262042,0.0552918801627958,0.741274380885773,0.99970875222106
"CAALFM_C100660CA",1233.77607777728,0.00345387326019728,0.0553117993799153,0.78182130999594,0.99970875222106
"CAALFM_C100670CA",358.959149177748,0.00695304176573213,0.0565225036778438,0.452542131512824,0.99970875222106
"CAALFM_C100680WA",314.940161448452,0.000823714904096533,0.0540098672445978,0.961115151809045,0.99970875222106
"CAALFM_C100690WA",512.440703746806,0.00564004548731459,0.0564161994224221,0.51184885423704,0.99970875222106
"CAALFM_C100700WA",937.5340708333,-0.00153020124299322,0.056382298426506,0.794593787551734,0.99970875222106
"CAALFM_C100710CA",9583.07391344745,-0.00597600563562613,0.0539035821367206,0.732830392804981,0.99970875222106
"CAALFM_C100720WA",4.41119356300452,-0.00317546874181357,0.0567013673657258,0.337670040573998,0.99970875222106
"CAALFM_C100730CA",2183.39639311372,0.00215397733377895,0.0538371142054079,0.899781578153022,0.99970875222106
"CAALFM_C100740CA",4511.41875129163,-0.0030321561936382,0.0563342558273514,0.665205951164762,0.99970875222106
"CAALFM_C100750CA",1192.86742927303,0.00341541891348805,0.0563100160410025,0.652416819209398,0.99970875222106
"CAALFM_C100760WA",932.037662626176,8.40788548862272e-05,0.0554183285591325,0.996384068306732,0.99970875222106
"CAALFM_C100770CA",298.039338721804,0.00265756647506532,0.0556477280750996,0.814800191677543,0.99970875222106
"CAALFM_C100780CA",109.519841686614,0.00276982385148103,0.0565391865115701,0.586627749971625,0.99970875222106
"CAALFM_C100790WA",120.356053566929,-0.00321883538450858,0.0558148677485942,0.753838185687675,0.99970875222106
"CAALFM_C100800CA",2166.87219045882,-0.000866497153109531,0.0564151586857215,0.869682043952538,0.99970875222106
"CAALFM_C100810WA",314.371556826911,-0.000540734146708837,0.0557478149406087,0.954684456191497,0.99970875222106
"CAALFM_C100820WA",173.536580101859,0.00108530804786626,0.0554910627406498,0.925042445726618,0.99970875222106
"CAALFM_C100830WA",355.45855192753,0.00126323190306032,0.0564855443437301,0.794659995292753,0.99970875222106
"CAALFM_C100840CA",1662.29013637186,-0.00182996719743056,0.0547148277676772,0.898276998823074,0.99970875222106
"CAALFM_C100860WA",329.923995371788,-0.00339330264358804,0.056279848154708,0.656501640009574,0.99970875222106
"CAALFM_C100870WA",2223.06653784926,0.00387888952150837,0.05638839961305,0.596645190821987,0.99970875222106
"CAALFM_C100880WA",116.682602675864,0.00277900688970866,0.0564265435855821,0.655262567665371,0.99970875222106
"CAALFM_C100890WA",692.408834257873,0.00226242007454552,0.0546708601137094,0.882263067789886,0.99970875222106
"CAALFM_C100900WA",1470.53820963455,-0.000260548942259341,0.0565891140282701,0.920267627478239,0.99970875222106
"CAALFM_C100910WA",344.562402037475,-0.0030341735874473,0.0561469401410155,0.713542751690732,0.99970875222106
"CAALFM_C100920WA",833.142270557584,-0.000726171365284639,0.0537846840426173,0.959132777088728,0.99970875222106
"CAALFM_C100930CA",5534.58104254028,0.00646054803438385,0.0551804778714363,0.656712901264323,0.99970875222106
"CAALFM_C100940WA",866.58537405199,-0.00345654511856542,0.0561979121675269,0.6729936797973,0.99970875222106
"CAALFM_C100950CA",4763.85297678751,0.0111697458751466,0.0545928050663737,0.554543469888109,0.99970875222106
"CAALFM_C100960CA",1379.37414454536,0.0103931863664601,0.0535605508396694,0.581245530728777,0.99970875222106
"CAALFM_C100970WA",148.651820424804,-0.00822145623253792,0.0557314343401369,0.546702182327675,0.99970875222106
"CAALFM_C100980WA",1159.26754398367,-0.00259229140360628,0.0564343844600013,0.659304640298242,0.99970875222106
"CAALFM_C100990CA",2908.96938757507,-0.000885101736087512,0.0565276431671088,0.820813756471187,0.99970875222106
"CAALFM_C101000CA",504.336497363163,-0.00362858510673782,0.0551809948823387,0.781361643881015,0.99970875222106
"CAALFM_C101010WA",2823.5198320946,-0.000917605281927669,0.056364043499113,0.871475257007874,0.99970875222106
"CAALFM_C101030WA",4081.74999577116,-0.000407379950038863,0.0565721140638929,0.891676720561075,0.99970875222106
"CAALFM_C101040WA",783.29141578757,0.000250964776123921,0.056448376879059,0.965022507475624,0.99970875222106
"CAALFM_C101050CA",2964.27720636096,0.00589154841351812,0.0528299880495304,0.768832442051909,0.99970875222106
"CAALFM_C101060WA",13937.3965503889,-0.0131767011466282,0.0554639085289134,0.479184502506325,0.99970875222106
"CAALFM_C101070CA",885.678222370033,0.0368339882370058,0.0660966221976463,0.135177613361611,0.99970875222106
"CAALFM_C101080WA",403.642411253973,-0.000541037378749001,0.0557113248732023,0.954002524129399,0.99970875222106
